Statement,Label,word_count,avg_word_length,sentence_count,stop_words_count,noun_count,verb_count,adjective_count,adverb_count,pronoun_count,noun_verb_ratio,adj_adv_ratio,sentiment_polarity,sentiment_subjectivity,word2vec_average,unique_word_count,lexical_diversity,punctuation_count,uppercase_word_count,avg_sentence_length,exclamation_mark_count
"One of the biggest threats to a developing fetus is maternal malnutrition, whether caused by famine, poverty, or dieting.",fact,19,5.42,1,7,6,3,2,0,0,1.5,2,0,0,0.004612266,19,1,4,0,121,0
"Maternal stress can affect fetal development, including an increased chance of cleft palate, depression, attention deficits, and distractibility.",fact,18,7.11,1,4,9,2,3,0,0,3,3,0,0,0.003221678,18,1,5,0,145,0
Stress hormones released by the mother can also reduce the placenta’s ability to protect the fetus from stress hormones in the future.,fact,22,5.14,1,9,10,4,0,1,0,2,0,0,0.12,0.005182199,18,0.82,1,0,134,0
"Did you know that unborn babies yawn, exercise, sleep, hiccup, suck their thumb and swallow?",fact,15,5.2,1,5,6,4,1,0,2,1.2,1,0,0,0.0035371,15,1,5,0,92,0
"Your baby can breathe under water while in Utero. While still in the womb, your baby begins to breathe at about 28 weeks. His lungs aren’t taking in any oxygen, they are just beginning to develop. He is beginning to practice, getting those muscles going. When he is born, those muscles are ready to breathe air!",fact,56,4.57,5,29,13,16,2,3,6,0.764705882,0.5,0.25,0.5,0.004110202,43,0.77,9,0,61.4,1
Unborn babies can hear the world around them,fact,8,4.62,1,3,2,1,1,0,1,1,1,0,0,0.005174112,8,1,0,0,44,0
"Your baby startles in utero. However, if the same noise is repeated often, the baby will get used to it and stop startling.",fact,23,4.39,2,11,6,5,1,2,2,1,0.333333333,-0.25,0.31,0.005419639,21,0.91,4,0,61,0
Your baby can smell what you smell,fact,7,4,1,4,1,2,0,0,2,0.333333333,0,0,0,0.004688713,6,0.86,0,0,34,0
"Your baby could smell and taste before she was even born. She'll quickly grow to love your own natural scent, and it may help to soothe and calm her when she's upset. So try to avoid using strong-smelling toiletries in the early weeks with your newborn",fact,46,4.5,3,21,6,12,5,3,8,0.461538462,1.25,0.32,0.59,0.004756841,41,0.89,6,0,83.33,0
Your baby’s sense of smell develops more because of the amniotic fluid he is in. ,fact,15,4.4,1,8,5,3,1,1,2,1.25,0.5,0.25,0.3,0.004847106,14,0.93,1,0,80,0
In the 3rd trimester he can smell even more easily since at that point the scents can pass through the placenta.,fact,21,4.38,1,11,4,2,0,3,1,1.333333333,0,0.31,0.44,0.004812503,18,0.86,1,0,112,0
Breastfeeding takes practice,fact,3,8.67,1,0,2,1,0,0,0,1,0,0,0,0.000536154,3,1,0,0,28,0
"Babies need to learn how to feed from the breast, just as you need to learn how to help them latch on. This can make the first few weeks of breastfeeding tricky and uncomfortable, but it does get easier with time.",fact,41,4.22,2,22,4,11,5,1,3,0.333333333,2.5,-0.15,0.48,0.005645905,34,0.83,4,0,106,0
"Babies have tiny tummies, and need to feed often at first. So if you're breastfeeding, you're likely to spend a lot of time with your baby at your breast in the early weeks. Be prepared, and remember that there's plenty of support available.",fact,43,4.63,3,21,10,10,5,2,4,0.909090909,1.666666667,0.15,0.51,0.005200015,37,0.86,9,0,79.67,0
"Some breastfeeding mums worry that if their newborn loses weight in the first few days, it means they're not getting enough breastmilk. This isn't true.",fact,25,5.12,2,11,6,5,5,2,3,1,1.666666667,0.02,0.34,0.003308362,25,1,5,0,75.5,0
Newborns have natural aquatic instincts when in water!,fact,8,5.88,1,3,3,1,2,0,0,1.5,2,0.12,0.4,0.003665106,8,1,1,0,54,1
"Babies are born with a “diving reflex” known as bradycardic response, which causes their body to naturally adapt to their surroundings when submerged in water. Bub’s heart rate will slow down and he will instinctively hold his breath when under water. What’s even more incredible is that, like fish, babies can actually breathe and swallow at the same time for the first few months of their life. They learn this talent while in the womb but begin to lose this ability around the 6-month mark",fact,85,4.8,4,40,22,15,10,6,6,1.375,1.428571429,0.12,0.35,0.004781555,72,0.85,7,0,122.25,0
Babies are born with 300 bones. That’s 94 more than adults. Where do the extra bones go? They fuse together during development.,fact,22,4.82,4,9,5,6,3,1,1,0.714285714,1.5,0.25,0.3,0.003273998,22,1,4,0,31,0
Their stomachs are the size of a walnut.,fact,8,4.12,1,5,3,1,0,0,1,1.5,0,0,0,0.006248291,8,1,1,0,40,0
No wonder they require constant feedings.,fact,6,6,1,2,2,1,1,0,1,1,1,0,0.33,0.001918181,6,1,1,0,41,0
Babies lose the hair they are born with.,fact,8,4.12,1,3,2,3,0,0,1,0.5,0,0,0,0.004659003,8,1,1,0,40,0
"All of it. And usually by the tender age of four months. While their original hair falls out, a whole new head of hair grows in its place",fact,28,3.93,3,12,8,1,3,1,3,4,1.5,0.12,0.46,0.004169038,25,0.89,3,0,45,0
Infants have supersized body parts,fact,5,6,1,1,3,2,0,0,0,1,0,0,0,0.001825258,5,1,0,0,34,0
"You probably noticed your little boy’s bits were especially prominent at birth (you can thank the swelling for that). While the swelling will subside, your babies’ head and eyes will remain supersized during the first year.",fact,36,5.22,2,15,8,8,5,2,4,0.888888889,1.666666667,0.35,0.61,0.003832667,31,0.86,5,0,111,0
A newborn’s head accounts for 1/4th of his body length while the adult human skull is about 1/7th of the total body length,fact,23,4.35,1,10,9,1,4,0,1,4.5,4,0.03,0.38,0.004232337,19,0.83,2,1,122,0
